"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6476","verify product search : sat","Firefox","2026-03-01","failed","2026-03-01","","2search3.spec.ts","",""
"","3850","Verify user is able to Register: Metty","Microsoft Edge","2026-02-24","failed","2026-02-24","","4resgister3.spec.ts","",""
"","6052","verify product Images Count for MacBook Air : 4","webkit","2026-02-24","failed","2026-02-24","","3productinfo2.spec.ts","",""
"","10336","verify product Pricing","Google Chrome","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","6274","verify product search : macbook","firefox","2026-02-24","failed","2026-02-24","","2search3.spec.ts","",""
"","10455","verify product search : canon","Google Chrome","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","2632","verify product search : canon","webkit","2026-02-24","failed","2026-02-24","","2search3.spec.ts","",""
"","5869","verify product Images Count for MacBook Air : 4","Google Chrome","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","2582","verify product search : sat","webkit","2026-02-24","failed","2026-02-24","","2search3.spec.ts","",""
"","6396","Verify user is able to Register: Metty","webkit","2026-02-24","passed","2026-02-24","","4resgister3.spec.ts","",""
"","2717","verify product search : macbook","webkit","2026-02-24","failed","2026-02-24","","2search3.spec.ts","",""
"","4404","Verify user is able to Register: Metty","Google Chrome","2026-02-24","passed","2026-02-24","","4resgister3.spec.ts","",""
"","14686","verify product search : imac","Microsoft Edge","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","14326","verify product Header for MacBook Pro","Microsoft Edge","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","4041","verify product search : sat","Microsoft Edge","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","6559","verify product search : canon","firefox","2026-02-24","failed","2026-02-24","","2search3.spec.ts","",""
"","13790","verify product search : samsung","Microsoft Edge","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","6501","verify product search : sat","firefox","2026-02-24","failed","2026-02-24","","2search3.spec.ts","",""
"","9499","verify product search : samsung","Google Chrome","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","9736","verify product search : macbook","Google Chrome","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","6642","Verify user is able to Register: Tom","webkit","2026-02-24","failed","2026-02-24","","4resgister3.spec.ts","",""
"","5605","verify product Header for MacBook Pro","webkit","2026-02-24","failed","2026-02-24","","3productinfo2.spec.ts","",""
"","4619","Verify user is able to Register: Alice","Microsoft Edge","2026-02-24","failed","2026-02-24","","4resgister3.spec.ts","",""
"","6806","Verify user is able to Register: Tom","Google Chrome","2026-02-24","passed","2026-02-24","","4resgister3.spec.ts","",""
"","3132","verify product search : sat","Google Chrome","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","6773","verify product Images Count for MacBook Pro : 4","Google Chrome","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","8172","Verify user is able to Register: Alice","webkit","2026-02-24","failed","2026-02-24","","4resgister3.spec.ts","",""
"","7715","verify product Images Count for Samsung Galaxy Tab 10.1 : 7","Google Chrome","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","10194","verify product search : imac","Google Chrome","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","4923","verify product Header for MacBook Air","webkit","2026-02-24","failed","2026-02-24","","3productinfo2.spec.ts","",""
